iter	Passed	Remaining
0	78	78379
1	94	46928
2	96	32047
3	97	24328
4	99	19816
5	102	16932
6	106	15102
7	108	13482
8	111	12229
9	112	11145
10	114	10282
11	115	9518
12	116	8865
13	117	8303
14	119	7869
15	122	7548
16	125	7237
17	126	6910
18	131	6795
19	134	6580
20	138	6468
21	141	6271
22	142	6067
23	144	5896
24	146	5722
25	147	5529
26	149	5391
27	152	5305
28	155	5220
29	157	5098
30	159	4984
31	161	4871
32	162	4769
33	164	4671
34	166	4580
35	167	4496
36	169	4410
37	171	4329
38	171	4234
39	173	4154
40	174	4083
41	176	4027
42	178	3979
43	180	3924
44	182	3870
45	183	3812
46	185	3756
47	186	3703
48	188	3653
49	189	3603
50	191	3557
51	193	3523
52	195	3494
53	197	3454
54	198	3414
55	200	3374
56	201	3336
57	203	3300
58	204	3263
59	206	3228
60	206	3185
61	208	3158
62	211	3147
63	213	3122
64	214	3091
65	216	3057
66	216	3020
67	218	2988
68	218	2954
69	220	2926
70	221	2904
71	223	2886
72	225	2869
73	227	2841
74	227	2810
75	229	2788
76	230	2766
77	232	2746
78	234	2729
79	235	2709
80	237	2692
81	238	2673
82	240	2661
83	243	2652
84	244	2634
85	245	2608
86	246	2589
87	248	2572
88	248	2548
89	250	2531
90	251	2515
91	254	2507
92	256	2502
93	258	2488
94	259	2472
95	260	2454
96	262	2444
97	264	2438
98	266	2427
99	269	2428
100	271	2419
101	275	2426
102	280	2439
103	282	2433
104	285	2432
105	287	2426
106	289	2417
107	292	2417
108	294	2408
109	296	2401
110	299	2401
111	304	2415
112	318	2499
113	322	2506
114	327	2518
115	329	2508
116	330	2493
117	335	2508
118	339	2512
119	343	2522
120	346	2519
121	350	2520
122	351	2507
123	353	2494
124	354	2482
125	356	2471
126	357	2456
127	358	2444
128	360	2432
129	361	2419
130	362	2407
131	364	2394
132	365	2382
133	367	2372
134	368	2361
135	370	2350
136	370	2335
137	371	2322
138	373	2312
139	374	2300
140	375	2289
141	378	2286
142	381	2284
143	382	2274
144	385	2272
145	387	2265
146	390	2263
147	392	2257
148	394	2254
149	397	2250
150	399	2246
151	400	2234
152	405	2244
153	407	2238
154	410	2237
155	413	2239
156	418	2247
157	422	2249
158	432	2287
159	434	2281
160	460	2398
161	501	2592
162	503	2586
163	506	2583
164	508	2575
165	510	2567
166	514	2564
167	516	2558
168	518	2547
169	518	2533
170	521	2528
171	523	2519
172	525	2513
173	528	2507
174	529	2498
175	531	2487
176	532	2475
177	534	2466
178	535	2455
179	536	2444
180	538	2434
181	539	2424
182	540	2415
183	542	2405
184	543	2396
185	545	2386
186	546	2377
187	548	2368
188	550	2360
189	551	2351
190	553	2342
191	554	2334
192	556	2325
193	557	2318
194	559	2310
195	561	2302
196	563	2297
197	565	2290
198	571	2299
199	573	2295
200	575	2287
201	577	2281
202	579	2273
203	580	2265
204	582	2259
205	584	2252
206	586	2245
207	587	2236
208	588	2226
209	589	2218
210	591	2210
211	592	2201
212	594	2194
213	595	2187
214	596	2178
215	598	2170
216	599	2162
217	600	2155
218	602	2149
219	604	2141
220	605	2133
221	606	2126
222	607	2116
223	608	2108
224	610	2101
225	611	2094
226	612	2086
227	614	2079
228	614	2069
229	616	2062
230	617	2055
231	618	2047
232	620	2041
233	621	2033
234	622	2027
235	624	2020
236	625	2013
237	626	2006
238	627	1999
239	629	1992
240	630	1985
241	631	1979
242	633	1972
243	634	1966
244	636	1959
245	637	1953
246	638	1946
247	640	1940
248	641	1934
249	642	1928
250	644	1922
251	645	1916
252	646	1910
253	648	1906
254	651	1903
255	653	1899
256	656	1897
257	660	1898
258	662	1894
259	664	1890
260	666	1887
261	669	1884
262	671	1881
263	673	1878
264	676	1875
265	678	1872
266	685	1883
267	688	1880
268	691	1879
269	693	1874
270	694	1868
271	696	1863
272	697	1858
273	699	1852
274	700	1847
275	702	1841
276	703	1835
277	704	1830
278	706	1825
279	707	1820
280	709	1814
281	710	1808
282	711	1802
283	713	1797
284	714	1791
285	715	1786
286	717	1781
287	718	1775
288	719	1771
289	721	1766
290	723	1761
291	724	1756
292	725	1751
293	727	1746
294	728	1740
295	729	1736
296	731	1731
297	732	1726
298	734	1721
299	735	1716
300	737	1711
301	738	1706
302	739	1701
303	741	1696
304	742	1692
305	744	1687
306	745	1683
307	747	1678
308	748	1674
309	749	1669
310	751	1664
311	752	1660
312	754	1655
313	755	1650
314	756	1645
315	758	1640
316	759	1636
317	760	1631
318	762	1627
319	763	1622
320	765	1619
321	767	1616
322	770	1613
323	772	1610
324	774	1607
325	775	1603
326	777	1599
327	778	1594
328	780	1592
329	782	1588
330	783	1583
331	784	1579
332	786	1574
333	787	1570
334	788	1566
335	790	1561
336	791	1557
337	792	1553
338	794	1548
339	796	1545
340	797	1541
341	798	1537
342	800	1533
343	801	1528
344	802	1524
345	804	1520
346	805	1516
347	807	1512
348	808	1508
349	810	1505
350	812	1501
351	813	1497
352	814	1493
353	817	1490
354	819	1489
355	821	1486
356	823	1482
357	824	1478
358	825	1474
359	827	1470
360	828	1466
361	829	1462
362	831	1458
363	832	1455
364	834	1451
365	836	1448
366	839	1447
367	843	1447
368	848	1450
369	850	1448
370	856	1451
